,Date/Time,temp_outdoor,solar,occ_0,heating,cooling,temp_zone_0,ATTIC_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Temperature [C](TimeStep) ,Time,day_sin,day_cos,Cphvac_0,Hphvac_0,phvac_0,setpt_0
2023-06-05 09:00:00, 06/05  09:15:00,73.895,817.0,0.72567,0.0,2263.5563628551604,75.37366602008869,0.0,0.0,44.21463907274294,0.0,0.0,19.578751610578102,2023-06-05 09:00:00,0.7071067811865476,-0.7071067811865475,-2263.5563628551604,0.0,-2263.5563628551604,24
2023-06-05 09:15:00, 06/05  09:30:00,74.93,828.0,0.72567,0.0,2269.369853030284,75.42769143335155,0.0,0.0,47.53626396676373,0.0,0.0,19.676341297935103,2023-06-05 09:15:00,0.659345815100069,-0.7518398074789773,-2269.369853030284,0.0,-2269.369853030284,24
2023-06-05 09:30:00, 06/05  09:45:00,75.965,826.75,0.72567,0.0,0.0,77.81871106086761,0.0,0.0,49.9090980808602,0.0,0.0,19.751266030314067,2023-06-05 09:30:00,0.6087614290087209,-0.793353340291235,-0.0,0.0,-0.0,32
2023-06-05 09:45:00, 06/05  10:00:00,77.0,825.5,0.72567,0.0,0.0,79.00472931796334,0.0,0.0,52.369802007661846,0.0,0.0,19.83248804241944,2023-06-05 09:45:00,0.5555702330196025,-0.831469612302545,-0.0,0.0,-0.0,32
2023-06-05 10:00:00, 06/05  10:15:00,77.72,824.25,0.72567,0.0,0.0,80.74580278468656,0.0,0.0,54.951204552247,0.0,0.0,19.926805156343963,2023-06-05 10:00:00,0.5000000000000003,-0.8660254037844385,-0.0,0.0,-0.0,32
2023-06-05 10:15:00, 06/05  10:30:00,78.44,823.0,0.72567,0.0,0.0,81.27280515949172,0.0,0.0,56.3214975655886,0.0,0.0,19.99545558962761,2023-06-05 10:15:00,0.4422886902190017,-0.8968727415326881,-0.0,0.0,-0.0,32
2023-06-05 10:30:00, 06/05  10:45:00,79.16,831.25,0.72567,0.0,0.0,81.85485862939245,0.0,0.0,57.31875509777563,0.0,0.0,20.065726767078047,2023-06-05 10:30:00,0.3826834323650899,-0.9238795325112868,-0.0,0.0,-0.0,32
2023-06-05 10:45:00, 06/05  11:00:00,79.88,839.5,0.72567,0.0,0.0,82.35228447537561,0.0,0.0,57.84309157934834,0.0,0.0,20.130121827267523,2023-06-05 10:45:00,0.3214394653031617,-0.9469301294951056,-0.0,0.0,-0.0,32
2023-06-05 11:00:00, 06/05  11:15:00,80.645,847.75,0.72567,0.0,0.0,82.79004974308103,0.0,0.0,58.05279287565333,0.0,0.0,20.185479763870127,2023-06-05 11:00:00,0.258819045102521,-0.9659258262890682,-0.0,0.0,-0.0,32
2023-06-05 11:15:00, 06/05  11:30:00,81.41,856.0,0.72567,0.0,0.0,83.60228023454657,0.0,0.0,58.33357115809642,0.0,0.0,20.257267444570672,2023-06-05 11:15:00,0.1950903220161286,-0.9807852804032304,-0.0,0.0,-0.0,32
2023-06-05 11:30:00, 06/05  11:45:00,82.175,856.5,0.72567,0.0,0.0,84.14141755414411,0.0,0.0,58.36022221553896,0.0,0.0,20.298951427227145,2023-06-05 11:30:00,0.130526192220052,-0.9914448613738104,-0.0,0.0,-0.0,32
2023-06-05 11:45:00, 06/05  12:00:00,82.94,857.0,0.72567,0.0,0.0,84.59688634338342,0.0,0.0,58.32742990109159,0.0,0.0,20.335287842358884,2023-06-05 11:45:00,0.0654031292301435,-0.9978589232386036,-0.0,0.0,-0.0,32
2023-06-05 12:00:00, 06/05  12:15:00,82.94,857.5,0.72567,0.0,0.0,85.0712238602297,0.0,0.0,58.30735259492156,0.0,0.0,20.36890315811775,2023-06-05 12:00:00,1.2246467991473532e-16,-1.0,-0.0,0.0,-0.0,32
2023-06-05 12:15:00, 06/05  12:30:00,82.94,858.0,0.72567,0.0,0.0,85.58263623843973,0.0,0.0,58.38307726371561,0.0,0.0,20.399544837519468,2023-06-05 12:15:00,-0.0654031292301428,-0.9978589232386036,-0.0,0.0,-0.0,32
2023-06-05 12:30:00, 06/05  12:45:00,82.94,866.75,0.72567,0.0,0.0,85.90052833560978,0.0,0.0,58.589525014826975,0.0,0.0,20.42501680546472,2023-06-05 12:30:00,-0.1305261922200513,-0.9914448613738104,-0.0,0.0,-0.0,32
2023-06-05 12:45:00, 06/05  13:00:00,82.94,875.5,0.72567,0.0,0.0,86.64764201138458,0.0,0.0,58.9808779219633,0.0,0.0,20.46801480957138,2023-06-05 12:45:00,-0.1950903220161279,-0.9807852804032304,-0.0,0.0,-0.0,32
2023-06-05 13:00:00, 06/05  13:15:00,83.435,884.25,0.72567,0.0,0.0,87.3276254577834,0.0,0.0,59.27439760719513,0.0,0.0,20.50867645800067,2023-06-05 13:00:00,-0.2588190451025203,-0.9659258262890684,-0.0,0.0,-0.0,32
2023-06-05 13:15:00, 06/05  13:30:00,83.93,893.0,0.72567,0.0,0.0,88.0052820212664,0.0,0.0,59.1847922588648,0.0,0.0,20.55475087981442,2023-06-05 13:15:00,-0.3214394653031611,-0.9469301294951058,-0.0,0.0,-0.0,32
2023-06-05 13:30:00, 06/05  13:45:00,84.425,824.5,0.72567,0.0,0.0,88.40996782424133,0.0,0.0,58.576969416747446,0.0,0.0,20.59662173895876,2023-06-05 13:30:00,-0.3826834323650892,-0.923879532511287,-0.0,0.0,-0.0,32
2023-06-05 13:45:00, 06/05  14:00:00,84.91999999999999,756.0,0.72567,0.0,0.0,88.94177857358552,0.0,0.0,57.44080975295753,0.0,0.0,20.644389176845863,2023-06-05 13:45:00,-0.4422886902190011,-0.8968727415326884,-0.0,0.0,-0.0,32
2023-06-05 14:00:00, 06/05  14:15:00,85.19,687.5,0.72567,0.0,0.0,89.48392442956607,0.0,0.0,56.0335667019871,0.0,0.0,20.689320112209696,2023-06-05 14:00:00,-0.4999999999999997,-0.8660254037844388,-0.0,0.0,-0.0,32
2023-06-05 14:15:00, 06/05  14:30:00,85.46000000000001,619.0,0.72567,0.0,0.0,90.32276236709892,0.0,0.0,54.259582463756544,0.0,0.0,20.73645349320668,2023-06-05 14:15:00,-0.555570233019602,-0.8314696123025455,-0.0,0.0,-0.0,32
2023-06-05 14:30:00, 06/05  14:45:00,85.73,655.25,0.72567,0.0,3496.5041393050733,86.1942709002752,0.0,0.0,53.19524274039395,0.0,0.0,20.7676013230328,2023-06-05 14:30:00,-0.6087614290087203,-0.7933533402912354,-3496.5041393050733,0.0,-3496.5041393050733,32
2023-06-05 14:45:00, 06/05  15:00:00,86.0,691.5,0.72567,0.0,0.0,88.6580523163299,0.0,0.0,52.40155241985763,0.0,0.0,20.80013385547156,2023-06-05 14:45:00,-0.6593458151000685,-0.7518398074789777,-0.0,0.0,-0.0,32
2023-06-05 15:00:00, 06/05  15:15:00,85.73,727.75,0.72567,0.0,0.0,89.55093935660798,0.0,0.0,51.82218583295796,0.0,0.0,20.834918968150145,2023-06-05 15:00:00,-0.7071067811865471,-0.7071067811865479,-0.0,0.0,-0.0,32
