,Date/Time,temp_outdoor,solar,occ_0,heating,cooling,temp_zone_0,ATTIC_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Temperature [C](TimeStep) ,Time,day_sin,day_cos,Cphvac_0,Hphvac_0,phvac_0
2023-07-31 00:00:00, 07/31  00:15:00,63.95,0.0,3.0,0.0,0.0,75.8257915481478,0.0,0.0,16.725536034128098,0.0,0.0,18.392285315601583,2023-07-31 00:00:00,0.0,1.0,-0.0,0.0,-0.0
2023-07-31 00:15:00, 07/31  00:30:00,63.5,0.0,3.0,0.0,2011.1339612321487,73.12892655514823,0.0,0.0,16.24493605549351,0.0,0.0,18.379814857027203,2023-07-31 00:15:00,0.065403129230143,0.9978589232386036,-2011.1339612321487,0.0,-2011.1339612321487
2023-07-31 00:30:00, 07/31  00:45:00,63.05,0.0,3.0,0.0,0.0,74.2553711912725,0.0,0.0,15.835140414862654,0.0,0.0,18.36991187943763,2023-07-31 00:30:00,0.1305261922200515,0.9914448613738104,-0.0,0.0,-0.0
2023-07-31 00:45:00, 07/31  01:00:00,62.6,0.0,3.0,0.0,0.0,74.55180999880876,0.0,0.0,15.412266536330812,0.0,0.0,18.35819800464379,2023-07-31 00:45:00,0.1950903220161282,0.9807852804032304,-0.0,0.0,-0.0
2023-07-31 01:00:00, 07/31  01:15:00,62.6,0.0,3.0,0.0,0.0,74.73988134142773,0.0,0.0,15.101815127656458,0.0,0.0,18.3473807623629,2023-07-31 01:00:00,0.2588190451025207,0.9659258262890684,-0.0,0.0,-0.0
2023-07-31 01:15:00, 07/31  01:30:00,62.6,0.0,3.0,0.0,0.0,75.25860398342698,0.0,0.0,14.740421196344592,0.0,0.0,18.328649702346592,2023-07-31 01:15:00,0.3214394653031615,0.9469301294951056,-0.0,0.0,-0.0
2023-07-31 01:30:00, 07/31  01:45:00,62.6,0.0,3.0,0.0,0.0,75.56524399970732,0.0,0.0,14.565171644154267,0.0,0.0,18.314026030490904,2023-07-31 01:30:00,0.3826834323650898,0.9238795325112868,-0.0,0.0,-0.0
2023-07-31 01:45:00, 07/31  02:00:00,62.6,0.0,3.0,0.0,0.0,75.61453636695093,0.0,0.0,14.50266947432978,0.0,0.0,18.30302807590287,2023-07-31 01:45:00,0.4422886902190012,0.8968727415326884,-0.0,0.0,-0.0
2023-07-31 02:00:00, 07/31  02:15:00,62.15,0.0,3.0,0.0,0.0,75.54448475588245,0.0,0.0,14.453477116440206,0.0,0.0,18.293210942451665,2023-07-31 02:00:00,0.4999999999999999,0.8660254037844387,-0.0,0.0,-0.0
2023-07-31 02:15:00, 07/31  02:30:00,61.7,0.0,3.0,0.0,0.0,75.46476382238892,0.0,0.0,14.356649639989175,0.0,0.0,18.282755772297463,2023-07-31 02:15:00,0.5555702330196022,0.8314696123025452,-0.0,0.0,-0.0
